es_id	usergroupid	alipayid	data_date
ACTION_U_01_001_003_123	ACTION_U_01_001_003	123	2020-11-05
ACTION_U_01_001_006_0000000000000000	ACTION_U_01_001_006	0000000000000000	2020-11-05
ACTION_U_01_001_006_2088302964261058	ACTION_U_01_001_006	2088302964261058	2020-11-05
ACTION_U_01_001_007_2088012814729990	ACTION_U_01_001_007	2088012814729990	2020-11-05
ACTION_U_01_001_007_2088102169353990	ACTION_U_01_001_007	2088102169353990	2020-11-05
ACTION_U_01_001_007_2088502850391131	ACTION_U_01_001_007	2088502850391131	2020-11-05
ACTION_U_01_002_003_2088102078688534	ACTION_U_01_002_003	2088102078688534	2020-11-05
ACTION_U_01_002_004_2088502029624664	ACTION_U_01_002_004	2088502029624664	2020-11-05
ACTION_U_01_002_004_2088612425869399	ACTION_U_01_002_004	2088612425869399	2020-11-05
ACTION_U_01_002_005_2088012238029524	ACTION_U_01_002_005	2088012238029524	2020-11-05
ACTION_U_01_002_006_2088202226189037	ACTION_U_01_002_006	2088202226189037	2020-11-05
ACTION_U_01_002_006_2088702105597211	ACTION_U_01_002_006	2088702105597211	2020-11-05
ACTION_U_01_002_006_2088702424434798	ACTION_U_01_002_006	2088702424434798	2020-11-05
ACTION_U_01_002_006_ooLHq07ri7lejrf8-StOLkThoV1s	ACTION_U_01_002_006	ooLHq07ri7lejrf8-StOLkThoV1s	2020-11-05
ACTION_U_01_002_007_2088022321939573	ACTION_U_01_002_007	2088022321939573	2020-11-05
ACTION_U_01_002_007_2088202840404394	ACTION_U_01_002_007	2088202840404394	2020-11-05
ACTION_U_01_002_007_2088412550955729	ACTION_U_01_002_007	2088412550955729	2020-11-05
ACTION_U_01_002_007_2088612253740275	ACTION_U_01_002_007	2088612253740275	2020-11-05
ACTION_U_01_002_007_2088612496613945	ACTION_U_01_002_007	2088612496613945	2020-11-05
ACTION_U_01_002_007_2088702027136161	ACTION_U_01_002_007	2088702027136161	2020-11-05
ACTION_U_01_002_007_2088702475753101	ACTION_U_01_002_007	2088702475753101	2020-11-05
ACTION_U_01_002_007_2088802941716343	ACTION_U_01_002_007	2088802941716343	2020-11-05
ACTION_U_01_002_007_2088902509535767	ACTION_U_01_002_007	2088902509535767	2020-11-05
ACTION_U_02_001_006_2088022779838008	ACTION_U_02_001_006	2088022779838008	2020-11-05
ACTION_U_02_001_007_0000000000000001	ACTION_U_02_001_007	0000000000000001	2020-11-05
