es_id	usergroupid	unionid	openid	data_date
NULL	ACTION_U_01_001_002	oS6w50hflqHspjzarqLNExzNDyUw	NULL	2020-11-05
ACTION_U_01_001_002_oS6w50p276O2EJbx9sz08YXxn-Z8_oz07c4mT3LGVB_ywI8gb-hBE8rHo	ACTION_U_01_001_002	oS6w50p276O2EJbx9sz08YXxn-Z8	oz07c4mT3LGVB_ywI8gb-hBE8rHo	2020-11-05
ACTION_U_01_001_004_oS6w50m0H00hp00Gr6WmNzBC-tUc_opunx1DfVMjao_8GzEUVPyXlDVgQ	ACTION_U_01_001_004	oS6w50m0H00hp00Gr6WmNzBC-tUc	opunx1DfVMjao_8GzEUVPyXlDVgQ	2020-11-05
ACTION_U_01_001_004_oS6w50qbO1gKrr8KRPQChCREe1uo_oAw_60mZVlSA-pGG-qJKiGN36KKQ	ACTION_U_01_001_004	oS6w50qbO1gKrr8KRPQChCREe1uo	oAw_60mZVlSA-pGG-qJKiGN36KKQ	2020-11-05
ACTION_U_01_001_006_oS6w50jxbnyZf-giSj24iqNzWMSI_oAw_60sT5EmmV_XLT5t8yWuBzTd8	ACTION_U_01_001_006	oS6w50jxbnyZf-giSj24iqNzWMSI	oAw_60sT5EmmV_XLT5t8yWuBzTd8	2020-11-05
ACTION_U_01_001_006_oS6w50vs-Qt8VkHVn7_0X34TmGHA_oAw_60nqY8EiWuvDZ3-_7T-4MC_s	ACTION_U_01_001_006	oS6w50vs-Qt8VkHVn7_0X34TmGHA	oAw_60nqY8EiWuvDZ3-_7T-4MC_s	2020-11-05
NULL	ACTION_U_01_001_007	NULL	oAw_60hf9MT4laMABgL2flRjUIu4	2020-11-05
NULL	ACTION_U_01_001_007	NULL	oAw_60jC6tDTxlgavMgJRSeHn-_I	2020-11-05
NULL	ACTION_U_01_001_007	NULL	oAw_60o5pKMeolHG699OJcwiNW9U	2020-11-05
NULL	ACTION_U_01_001_007	NULL	oAw_60v4jOxFSyIrIxW2JeY1kUSY	2020-11-05
ACTION_U_01_001_007_oS6w50hZAqbrS5jAfDd6KfgHuAxI_opunx1IbxdiEsAiWWxgsdDPJoRo4	ACTION_U_01_001_007	oS6w50hZAqbrS5jAfDd6KfgHuAxI	opunx1IbxdiEsAiWWxgsdDPJoRo4	2020-11-05
ACTION_U_01_001_007_oS6w50hodMHHcYKAqwRdObkjcxpU_oAw_60rGf0um6OUc1gHdmP5Ez3aM	ACTION_U_01_001_007	oS6w50hodMHHcYKAqwRdObkjcxpU	oAw_60rGf0um6OUc1gHdmP5Ez3aM	2020-11-05
ACTION_U_01_001_007_oS6w50j7FTp7qWW3YNgFKT-no_fs_oAw_60jM3hB1y2vcQzGcPmqNAhkw	ACTION_U_01_001_007	oS6w50j7FTp7qWW3YNgFKT-no_fs	oAw_60jM3hB1y2vcQzGcPmqNAhkw	2020-11-05
ACTION_U_01_001_007_oS6w50lo77KNWcSgNEGoLPu8_puI_oz07c4gYfeBW9xgBjq-MlaN8h7bA	ACTION_U_01_001_007	oS6w50lo77KNWcSgNEGoLPu8_puI	oz07c4gYfeBW9xgBjq-MlaN8h7bA	2020-11-05
ACTION_U_01_001_007_oS6w50mkejhnfh2nifWxHzfOKm3c_opunx1KpW2fxRUlA5_shT2HiXgLM	ACTION_U_01_001_007	oS6w50mkejhnfh2nifWxHzfOKm3c	opunx1KpW2fxRUlA5_shT2HiXgLM	2020-11-05
ACTION_U_01_001_007_oS6w50o00zMd-ZzCgqt5_E4aohTk_oz07c4lbx1eJ1s9NkfVxhgWf1cjo	ACTION_U_01_001_007	oS6w50o00zMd-ZzCgqt5_E4aohTk	oz07c4lbx1eJ1s9NkfVxhgWf1cjo	2020-11-05
ACTION_U_01_001_007_oS6w50qatNCvlLGqHpYp6N-VWdKo_opunx1DXhcMWE3TVFGwDo-TqGJwU	ACTION_U_01_001_007	oS6w50qatNCvlLGqHpYp6N-VWdKo	opunx1DXhcMWE3TVFGwDo-TqGJwU	2020-11-05
ACTION_U_01_001_007_oS6w50u0_7swKup3eDWd4ViXtX4U_opunx1O53AlYHIgwkkZN5gda1upk	ACTION_U_01_001_007	oS6w50u0_7swKup3eDWd4ViXtX4U	opunx1O53AlYHIgwkkZN5gda1upk	2020-11-05
ACTION_U_01_001_007_oS6w50unoWjBQlYjVya73KkQ3zdI_oAw_60sIPcjYSrsU6QDZiR4g7AE0	ACTION_U_01_001_007	oS6w50unoWjBQlYjVya73KkQ3zdI	oAw_60sIPcjYSrsU6QDZiR4g7AE0	2020-11-05
ACTION_U_01_001_007_oS6w50vs-Qt8VkHVn7_0X34TmGHA_oz07c4sinCoUcZ9BJJoEk-nYwJd8	ACTION_U_01_001_007	oS6w50vs-Qt8VkHVn7_0X34TmGHA	oz07c4sinCoUcZ9BJJoEk-nYwJd8	2020-11-05
NULL	ACTION_U_01_002_003	NULL	ooLHq00xVKUkclqSMypDe0AHkKLc	2020-11-05
NULL	ACTION_U_01_002_003	NULL	ooLHq04L3h90_HevwkIMbEZDaeTU	2020-11-05
NULL	ACTION_U_01_002_003	NULL	ooLHq04fONOb464yZE5I5YLfISkU	2020-11-05
NULL	ACTION_U_01_002_003	NULL	ooLHq0wUnln_eq6JP2AmRsAjGMJw	2020-11-05
ACTION_U_01_002_003_oS6w50hlDeQniNBYRmR0q2EjKCG0_oz07c4lqQ_sHxtfdOh8J5_BogVKU	ACTION_U_01_002_003	oS6w50hlDeQniNBYRmR0q2EjKCG0	oz07c4lqQ_sHxtfdOh8J5_BogVKU	2020-11-05
NULL	ACTION_U_01_002_004	NULL	ooLHq02CpbUvZNohjDTqNLsVTYZw	2020-11-05
NULL	ACTION_U_01_002_005	NULL	ooLHq03gHyK3tANRZ2M6XTUi6uzk	2020-11-05
NULL	ACTION_U_01_002_005	NULL	ooLHq07P7_4XOjz7qrJ6VCu-btlI	2020-11-05
NULL	ACTION_U_01_002_005	NULL	ooLHq0866CCg0TDhAxbFfkSvvscQ	2020-11-05
NULL	ACTION_U_01_002_006	NULL	oS6w50k6F0x7AJpohvkfK0GAz5og	2020-11-05
NULL	ACTION_U_01_002_006	NULL	oS6w50ku9ZxgCDkKZIPZbc4Rbpkg	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq0-68exBi0H0xSetNOgRvL78	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq01K00fZbXwkBaFWgS5fe3zE	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq02CyTmdN2Dsi-0pkkQL7RdA	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq02U3kRwo4ers0jrH1c2NrFc	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq02W7gsqtqmULWZB03psR5Ps	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq030YPWE3fyk3feRkz4qDBww	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq03_qsX9A0mdpVs2C8B4yMmo	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq03qataEj7oaf4ea4TmoFqms	2020-11-05
NULL	ACTION_U_01_002_006	NULL	ooLHq08NcvwJn4rqPAAH7z8ABFLs	2020-11-05
